#,Title,Date,slug,Permalink
28,छान्दोग्योपनिषत् चतुर्थोऽध्यायः,2020-05-21 18:21:00,chandogyopnishad-4,https://sanskrit.dasarpai.com/chandogyopnishad-4/
29,छान्दोग्योपनिषत् तृतीयोऽध्यायः,2020-05-21 18:12:00,chandogyopnishad-3,https://sanskrit.dasarpai.com/chandogyopnishad-3/
30,छान्दोग्योपनिषत् द्वितीयोऽध्यायः,2020-05-21 18:07:00,chandogyopnishad-2,https://sanskrit.dasarpai.com/chandogyopnishad-2/
31,छान्दोग्योपनिषत्,2020-05-21 17:59:00,chandogyopnishad-1,https://sanskrit.dasarpai.com/chandogyopnishad-1/
32,माण्डूक्योपनिषत्,2020-05-20 17:03:00,mandukyopnishad,https://sanskrit.dasarpai.com/mandukyopnishad/
33,श्रीमद्भगवद्गीता अथाष्टादशोऽध्यायः - मोक्षसंन्यासयोगः,2020-05-18 17:58:00,bhagwat-gita-chapter-18,https://sanskrit.dasarpai.com/bhagwat-gita-chapter-18/
34,श्रीमद्भगवद्गीता सप्तदशोऽध्यायः - श्रद्धात्रयविभागयोगः,2020-05-17 17:56:00,bhagwat-gita-chapter-17,https://sanskrit.dasarpai.com/bhagwat-gita-chapter-17/
35,जय राम सदा सुखधाम,2020-05-17 6:38:00,jai-raama-sada-sada-sukhdham-hare,https://sanskrit.dasarpai.com/jai-raama-sada-sada-sukhdham-hare/
36,जय राम सोभा धाम,2020-05-17 6:33:00,jai-raama-sobha-dham,https://sanskrit.dasarpai.com/jai-raama-sobha-dham/
37,श्रीमद्भगवद्गीता षोडशोऽध्यायः - दैवासुरसम्पद्विभागयोगः,2020-05-16 17:55:00,bhagwat-gita-chapter-16,https://sanskrit.dasarpai.com/bhagwat-gita-chapter-16/
38,श्रीमद्भगवद्गीता पञ्चदशोऽध्यायः - पुरुषोत्तमयोगः,2020-05-15 17:53:00,bhagwat-gita-chapter-15,https://sanskrit.dasarpai.com/bhagwat-gita-chapter-15/
39,रुद्रघन पाठ,2020-05-15 6:19:00,rudraghan-paath,https://sanskrit.dasarpai.com/rudraghan-paath/
40,ईशावास्योपषत्,2020-05-15 5:28:00,ishaavashyopnishad,https://sanskrit.dasarpai.com/ishaavashyopnishad/
41,श्रीमद्भगवद्गीता चतुर्दशोऽध्यायः - गुणत्रयविभागयोगः,2020-05-14 17:52:00,bhagwat-gita-chapter-14,https://sanskrit.dasarpai.com/bhagwat-gita-chapter-14/
42,श्रीमद्भगवद्गीता त्रयोदशोऽध्यायः - क्षेत्रक्षेत्रज्ञविभागयोगः,2020-05-13 17:51:00,bhagwat-gita-chapter-13,https://sanskrit.dasarpai.com/bhagwat-gita-chapter-13/
43,श्रीमद्भगवद्गीता द्वादशोऽध्यायः - भक्तियोगः,2020-05-12 17:49:00,bhagwat-gita-chapter-12,https://sanskrit.dasarpai.com/bhagwat-gita-chapter-12/
44,गुणसागर निर्गुण परमेशा,2020-05-12 13:28:00,gunasagar-nirguna,https://sanskrit.dasarpai.com/gunasagar-nirguna/
45,नाम रामायण,2020-05-12 6:14:00,naam-ramayan,https://sanskrit.dasarpai.com/naam-ramayan/
46,श्रीमद्भगवद्गीता एकादशोऽध्यायः - विश्वरूपदर्शनयोगः,2020-05-11 17:48:00,bhagwat-gita-chapter-11,https://sanskrit.dasarpai.com/bhagwat-gita-chapter-11/
47,श्रीसूक्तम्,2020-05-11 14:24:00,shrisuktam,https://sanskrit.dasarpai.com/shrisuktam/
48,श्रीमद्भगवद्गीता दशमोऽध्यायः - विभूतियोगः,2020-05-10 17:46:00,bhagwat-gita-chapter-10,https://sanskrit.dasarpai.com/bhagwat-gita-chapter-10/
49,नवग्रहसूक्तम्,2020-05-10 17:30:00,navgruhsuktam,https://sanskrit.dasarpai.com/navgruhsuktam/
50,श्रीमद्भगवद्गीता नवमोऽध्यायः - राजविद्याराजगुह्ययोगः,2020-05-09 17:44:00,bhagwat-gita-chapter-9,https://sanskrit.dasarpai.com/bhagwat-gita-chapter-9/
51,नारायणोपनिषत्,2020-05-09 17:36:00,narayanopnishad,https://sanskrit.dasarpai.com/narayanopnishad/
52,अथ केनोपनिषत्,2020-05-08 18:26:00,kenopnishad,https://sanskrit.dasarpai.com/kenopnishad/
53,श्रीमद्भगवद्गीता अष्टमोऽध्यायः - अक्षरब्रह्मयोगः,2020-05-08 17:31:00,bhagwat-gita-chapter-8,https://sanskrit.dasarpai.com/bhagwat-gita-chapter-8/
54,शिव जयजयकार स्तोत्रं,2020-05-08 7:10:00,shiv-jai-jai-kaar,https://sanskrit.dasarpai.com/shiv-jai-jai-kaar/
55,शंकराय मंगलं,2020-05-08 7:06:00,shankarya-mangalam,https://sanskrit.dasarpai.com/shankarya-mangalam/
56,श्री राम स्तुति:,2020-05-08 7:02:00,ramchandra-stuti,https://sanskrit.dasarpai.com/ramchandra-stuti/
57,रामचन्द्र स्तवन,2020-05-08 6:56:00,ramchandra-stavan,https://sanskrit.dasarpai.com/ramchandra-stavan/
58,परसत पद पावन,2020-05-08 6:53:00,parsat-pad-paavan,https://sanskrit.dasarpai.com/parsat-pad-paavan/
59,जय राम रमा रमनं समनं,2020-05-08 6:46:00,jai-raam-rama-ramanam-samanam,https://sanskrit.dasarpai.com/jai-raam-rama-ramanam-samanam/
60,जय जय सुरनायक,2020-05-08 6:40:00,jai-jai-surnayak,https://sanskrit.dasarpai.com/jai-jai-surnayak/
61,दुर्गतिनाशिनी दुर्गे,2020-05-08 6:35:00,durgatinaashinidurge,https://sanskrit.dasarpai.com/durgatinaashinidurge
62,आदित्यहृदयम् स्त्रोत्रं,2020-05-08 6:23:00,aditya-hridayam-stotram,https://sanskrit.dasarpai.com/aditya-hridayam-stotram/
63,देवीसूक्तम्,2020-05-08 6:22:00,devi-suktam-saswara,https://sanskrit.dasarpai.com/devi-suktam-saswara/
64,ऐतरेयोपनिषत्,2020-05-07 18:33:00,aitreyopnishad,https://sanskrit.dasarpai.com/aitreyopnishad/
65,संकटमोचन हनुमानाष्टक,2020-05-07 18:25:00,sankat-mochan-hanumanasht,https://sanskrit.dasarpai.com/sankat-mochan-hanumanasht/
66,हनुमान चालीसा,2020-05-07 18:17:00,hanuman-chalisa,https://sanskrit.dasarpai.com/hanuman-chalisa/
67,गुरु स्तोत्रम्,2020-05-07 18:11:00,guru-stotram,https://sanskrit.dasarpai.com/guru-stotram/
68,भवान्यष्टकम्,2020-05-07 17:57:00,bhavani-ashtakam,https://sanskrit.dasarpai.com/bhavani-ashtakam/
69,श्रीमद्भगवद्गीता सप्तमोऽध्यायः - ज्ञानविज्ञानयोगः,2020-05-07 17:27:00,bhagwat-gita-chapter-7,https://sanskrit.dasarpai.com/bhagwat-gita-chapter-7/
70,क्षमा-प्रार्थना,2020-05-07 7:03:00,devi-kshama-prarthana,https://sanskrit.dasarpai.com/devi-kshama-prarthana/
71,अमृतबिन्दुपनिषत्,2020-05-06 18:36:00,amrutbindu-upanishad,https://sanskrit.dasarpai.com/amrutbindu-upanishad/
72,श्रीमद्भगवद्गीता षष्ठोऽध्यायः - ध्यानयोगः,2020-05-06 17:23:00,bhagwat-gita-chapter-6,https://sanskrit.dasarpai.com/bhagwat-gita-chapter-6/
73,लक्ष्मीनृसिंह करावलम्ब स्तोत्र,2020-05-06 13:43:00,lakshmi-nrusimha-karavalamba-stotram,https://sanskrit.dasarpai.com/lakshmi-nrusimha-karavalamba-stotram/
74,कबीरदास दोहे,2020-05-06 7:56:00,kabirdaas-dohe,https://sanskrit.dasarpai.com/kabirdaas-dohe/
75,आत्मोपनिषत्,2020-05-05 18:34:00,aatmopnishad,https://sanskrit.dasarpai.com/aatmopnishad/
76,श्रीमद्भगवद्गीता पञ्चमोऽध्यायः - संन्यासयोगः,2020-05-05 17:21:00,bhagwat-gita-chapter-5,https://sanskrit.dasarpai.com/bhagwat-gita-chapter-5/
77,श्रीमद्भगवद्गीता चतुर्थोऽध्यायः,2020-05-04 17:20:00,bhagwat-gita-chapter-4,https://sanskrit.dasarpai.com/bhagwat-gita-chapter-4/
78,श्रीमद्भगवद्गीता तृतीयोऽध्यायः,2020-05-03 17:04:00,bhagwat-gita-chapter-3,https://sanskrit.dasarpai.com/bhagwat-gita-chapter-3/
79,Thirukkural Summary in Hindi,2020-05-03 3:40:00,thirukkural-summary-in-hindi,https://sanskrit.dasarpai.com/thirukkural-summary-in-hindi/
80,कनकधारा स्तोत्रं,2020-05-02 18:34:00,kanakdhara-stotram,https://sanskrit.dasarpai.com/kanakdhara-stotram
