"Old_Name","New_Name","Date_Time",,,
"2022-01-01 18_51_56-LiveSession - upGrad.jpg","2022-01-01-18_51_56-LiveSession-upGrad.jpg","2022-01-01-18","- image: 2022-01-01-18_51_56-LiveSession-upGrad.jpg",48,"- image: 2022-01-01-18_51_56-LiveSession-upGrad.jpg"
"2022-01-08 11_47_45-LiveSession - upGrad.jpg","2022-01-08-11_47_45-LiveSession-upGrad.jpg","2022-01-08-11","- image: 2022-01-08-11_47_45-LiveSession-upGrad.jpg",49,"- image: 2022-01-08-11_47_45-LiveSession-upGrad.jpg"
"2022-01-08 11_48_33-LiveSession - upGrad.jpg","2022-01-08-11_48_33-LiveSession-upGrad.jpg","2022-01-08-11","- image: 2022-01-08-11_48_33-LiveSession-upGrad.jpg",50,"- image: 2022-01-08-11_48_33-LiveSession-upGrad.jpg"
"2022-01-08 14_09_16-LiveSession - upGrad.jpg","2022-01-08-14_09_16-LiveSession-upGrad.jpg","2022-01-08-14","- image: 2022-01-08-14_09_16-LiveSession-upGrad.jpg",51,"- image: 2022-01-08-14_09_16-LiveSession-upGrad.jpg"
"2022-01-08 19_04_25-LiveSession - upGrad.jpg","2022-01-08-19_04_25-LiveSession-upGrad.jpg","2022-01-08-19","- image: 2022-01-08-19_04_25-LiveSession-upGrad.jpg",52,"- image: 2022-01-08-19_04_25-LiveSession-upGrad.jpg"
"2022-01-13 10_30_20-HeroVired-Zoom Meeting.jpg","2022-01-13-10_30_20-HeroVired-Zoom-Meeting.jpg","2022-01-13-10","- image: 2022-01-13-10_30_20-HeroVired-Zoom-Meeting.jpg",53,"- image: 2022-01-13-10_30_20-HeroVired-Zoom-Meeting.jpg"
"2022-01-13 15_28_16-HeroVired--Zoom Meeting.jpg","2022-01-13-15_28_16-HeroVired--Zoom-Meeting.jpg","2022-01-13-15","- image: 2022-01-13-15_28_16-HeroVired--Zoom-Meeting.jpg",54,"- image: 2022-01-13-15_28_16-HeroVired--Zoom-Meeting.jpg"
"2022-01-15 11_29_37-LiveSession - upGrad.jpg","2022-01-15-11_29_37-LiveSession-upGrad.jpg","2022-01-15-11","- image: 2022-01-15-11_29_37-LiveSession-upGrad.jpg",55,"- image: 2022-01-15-11_29_37-LiveSession-upGrad.jpg"
"2022-01-15 14_04_29-LiveSession - upGrad.jpg","2022-01-15-14_04_29-LiveSession-upGrad.jpg","2022-01-15-14","- image: 2022-01-15-14_04_29-LiveSession-upGrad.jpg",56,"- image: 2022-01-15-14_04_29-LiveSession-upGrad.jpg"
"2022-01-15 14_10_37-LiveSession - upGrad.jpg","2022-01-15-14_10_37-LiveSession-upGrad.jpg","2022-01-15-14","- image: 2022-01-15-14_10_37-LiveSession-upGrad.jpg",57,"- image: 2022-01-15-14_10_37-LiveSession-upGrad.jpg"
